ID,SMILES
YY3,Cn1cc(c2c1cccc2)c3ccnc(n3)Nc4cc(c(cc4OC)N(C)CCN(C)C)NC(=O)C=C
T41,BrC(C=C1)=CC=C1N2N=C(C3=CC=CC=C3OCC4=CC=CC=C4)C(CNCC(O)=O)=C2
T42,BrC(C=C1)=CC=C1N2N=C(C3=CC=CC=C3OCC4=CC=CC=C4)C(CN[C@@H](C)C(O)=O)=C2
T43,BrC(C=C1)=CC=C1N2N=C(C3=CC=CC=C3OCC4=CC=CC=C4)C(CN[C@@H](CCSC)C(O)=O)=C2
T44,BrC(C=C1)=CC=C1N2N=C(C3=CC=CC=C3OCC4=CC=CC=C4)C(CN[C@@H](CC(C)C)C(O)=O)=C2
T45,BrC(C=C1)=CC=C1N2N=C(C3=CC=CC=C3OCC4=CC=CC=C4)C(CN[C@@H]([C@@H](C)CC)C(O)=O)=C2
T46,BrC(C=C1)=CC=C1N2N=C(C3=CC=CC=C3OCC4=CC=CC=C4)C(CN[C@@H](C(C)C)C(O)=O)=C2
T47,BrC(C=C1)=CC=C1N2N=C(C3=CC=CC=C3OCC4=CC=CC=C4)C(CN[C@@H](CC5=CC=C(O)C=C5)C(O)=O)=C2
T48,BrC(C=C1)=CC=C1N2N=C(C3=CC=CC=C3OCC4=CC=CC=C4)C(CN[C@@H](CC5=CC=CC=C5)C(O)=O)=C2
T49,BrC(C=C1)=CC=C1N2N=C(C3=CC=CC=C3OCC4=CC=CC=C4)C(CN[C@@H](CC5=CNC6=C5C=CC=C6)C(O)=O)=C2
T3A,BrC(C=C1)=CC=C1N2N=C(C3=CC=CC=C3OCC4=CC=CC=C4)C(CNC5=CC=CC(C(O)=O)=C5)=C2
T4P,BrC(C=C1)=CC=C1N2N=C(C3=CC=CC=C3OCC4=CC=CC=C4)C(CN[C@H](C(O)=O)CC(O)=O)=C2
TAG,BrC(C=C1)=CC=C1N2N=C(C3=CC=CC=C3OCC4=CC=CC=C4)C(CN[C@H](C(O)=O)CCNC(N)=N)=C2
T4E,BrC(C=C1)=CC=C1N2N=C(C3=CC=CC=C3OCC4=CC=CC=C4)C(CN[C@@H]([C@H](O)C)C(O)=O)=C2
T4U,BrC(C=C1)=CC=C1N2N=C(C3=CC=CC=C3OCC4=CC=CC=C4)C(CN[C@H](C(O)=O)CCC(O)=O)=C2
S41,BrC(C=C1)=CC=C1N2N=C(C3=CC=CC=C3OCC4=CC=C(Cl)C=C4)C(CN[C@@H](C)C(O)=O)=C2
S42,BrC(C=C1)=CC=C1N2N=C(C3=CC=CC=C3OCC4=CC=C(Cl)C=C4)C(CN[C@@H](C(C)C)C(O)=O)=C2
S43,BrC(C=C1)=CC=C1N2N=C(C3=CC=CC=C3OCC4=CC=C(Cl)C=C4)C(CNCC(O)=O)=C2
S44,BrC(C=C1)=CC=C1N2N=C(C3=CC=CC=C3OCC4=CC=C(Cl)C=C4)C(CN[C@@H](CC(C)C)C(O)=O)=C2
S45,BrC(C=C1)=CC=C1N2N=C(C3=CC=CC=C3OCC4=CC=C(Cl)C=C4)C(CN[C@@H]([C@@H](C)CC)C(O)=O)=C2
S46,BrC(C=C1)=CC=C1N2N=C(C3=CC=CC=C3OCC4=CC=C(Cl)C=C4)C(CN[C@@H](CC5=CC=C(O)C=C5)C(O)=O)=C2
S47,BrC(C=C1)=CC=C1N2N=C(C3=CC=CC=C3OCC4=CC=C(Cl)C=C4)C(CN[C@@H](CC5=CC=CC=C5)C(O)=O)=C2
S48,BrC(C=C1)=CC=C1N2N=C(C3=CC=CC=C3OCC4=CC=C(Cl)C=C4)C(CN[C@@H](CC5=CNC6=C5C=CC=C6)C(O)=O)=C2
H4P,O=C(O)C[C@@H](C(O)=O)NCC1=CN(C2=CC=C(OC)C=C2)N=C1C3=CC=CC=C3OCC4=CC=CC=C4
